Model,Avg_AUROC,Avg_AUPRC,Avg_F4,FinalDay_Morning_AUROC,FinalDay_Morning_AUPRC,FinalDay_Morning_F4,FinalDay_Rest_AUROC,FinalDay_Rest_AUPRC,FinalDay_Rest_F4
Transformer+OCSVM,1.0,1.0,0.9906706372183162,1.0,0.9999999999999999,0.9999996481763397,1.0,1.0000000000000002,0.9982752817676542
PRAE,0.9979406582006174,0.9886374069393997,0.0019942935423648035,1.0,0.9999999999999999,1.0,0.9987442882434848,0.9924780149835903,0.0013358859041829286
PNN,0.9360115381959278,0.9126524333782098,0.5036959594288893,0.9496998939356832,0.8804344374767399,0.08365494789974019,0.9315426891821832,0.8956709140399874,0.36176022662135754
